门店名,消费笔数
深圳联通大厦店,96
北京黄平路咖啡店,72
上海漫乐城店,151
北京呼家楼咖啡店,13
绍兴柯桥万达南门店,121
徐州淮海新天地店,55
杭州萧山农业大厦,118
营口万达店,33
大连恒隆店,188
北京光华路第二咖啡店,38
汇智广场店,155
深圳东海缤纷天地店,200
泰州香颂花园店,86
北京财富中心4店,26
大同店,96
郑州二七万达店,101
茂名电白万达广场店,24
上海博荟广场店,133
南京仁恒江湾新天地店,126
成都沁园世纪广场店,82
北京中关村南大街咖啡店,47
杭州下沙上品店,68
长宁KING88购物中心店,261
苏州太仓五洋广场店,127
阳泉万达广场,33
扬州东关街店,63
深圳华强北茂业店,83
成都城南仁和新城店,60
1933老场坊店,79
南京江北新区砂之船奥莱,98
厦门同安钟楼一号店,83
福州东二环泰禾三店,28
成都崇州万达中心店,51
南京黄埔大酒店店,99
马鞍山星悦广场店,37
杭州浙大森林店,71
苏州大运城店,46
杭州新加坡科技园店,83
成都市第一人民医院,18
长春摩天活力城门店,94
利津路店,144
上海虹桥河滨天地店,88
厦门钟岭路分店,53
广州流花展贸中心店,26
上海森兰花园城店,109
无锡东亭卜蜂莲花广场店,97
广州万胜广场店,64
济南龙湖奥体天街店,27
中融广场店,131
深圳万象前海店,82
苏州时代广场店,75
湖州银泰百货店,42
中山公园店,150
常州武进凯尔店,184
深圳卓悦中心店,138
杭州浙富西溪堂店,71
东莞长安天虹店,43
金丰路店,101
南昌恒茂国际华城店,40
嘉定嘉尚坊店,81
重庆新天泽国际广场店,27
盐城金宝凤凰广场店,97
常州莱蒙都会1店,69
广州正佳万豪分店,95
南宁江南万达分店,32
北京嘉盛SOHO中心店,32
深圳中国储能大厦店,101
北京学院南路店,32
虹口运动loft店,140
深圳田厦国际中心店,76
北京玲珑天地店,102
1788广场店,196
迪士尼小镇店,590
青岛新城吾悦广场店,25
北京首都国际机场5店,37
嘉兴嘉善银泰店,113
北京新世界店,30
上海新田360华侨城店,109
杭州半山青亭店,79
华漕旭辉店,119
南京水平方店,71
长沙湖南卫视摩天轮店,73
飞洲国际广场店,95
苏州昆山万象汇店,141
烟台开发区万达广场店,95
北京金汇路世界城店,33
天津天佑城咖啡店,42
中港汇店,142
青浦凯特利广场,115
崇明八一广场店,217
越洋广场1F店,357
义乌机场国内出发店,33
上海陆家嘴滨江中心店,92
苏州木渎悠方店,90
北京朝林广场店,23
南京学则路梦天地店,159
嘉定宝龙商业广场店,121
万+MALL,30
东莞常平翔龙天地广场店,51
广州华标广场店,64
深圳蛇口网谷店,116
衢州江山东方店,38
陆家嘴软件园二店,99
大连华南亿合城店,38
佛山九鼎国际广场店,22
上海临港宝龙广场店,73
武汉广发银行大厦店,14
北蔡唐人幸福里店,133
北京槐房西路店,43
北京马坡鲁能乐活广场店,78
嘉兴海宁银泰鹃湖店,60
绍兴诸暨万风西楼店,117
嘉兴海宁万朵城店,36
古美路2店,69
深圳航天科技广场分店,120
上海保利广场店,150
上海世博源一区店,166
莘庄龙之梦办公楼店,83
苏州久光百货店,135
宁波新星路店,158
深圳深业上城B1F店,80
大华乐购店,151
嘉兴嘉善恒利广场店,60
苏州胥涛路仁恒店,227
苏州昆山九方城店,219
天津五大道店,117
宝武大厦店,45
颛桥万达店,129
重庆美邻汇店,26
上海金领谷店,48
西安高新金花店,35
宁波北岸财富中心店,87
泰州一百店,112
保定万博广场店,43
杭州萧山银泰6F店,25
杭州和平饭店店,148
泰州中骏世界城店,38
成都万象城手语店,56
常州又一城店,126
温州瑞安吾悦广场店,92
北京文化园西路咖啡店,67
金华义乌之心北门店,68
十六铺店,64
西安小寨赛格店,76
深圳欧洲城店,78
上海adidas总部店,110
杭州赞成中心店,111
宁波北仑银泰城店,100
杭州萧山科创中心,179
徐汇日月光店,206
杭州萧山银泰店,48
北京西环广场2期店,178
无锡T12店,65
上海静安九百食品城店,151
上海富士康大厦,177
湛江鼎盛广场店,86
南通八佰伴店,141
南通川姜镇罗缦广场店,50
广州天河城店,98
上海嘉定东方商厦店,88
温州龙湾洲亿酒店,62
佛山高明钧明城店,20
大连凯丹广场店,78
东莞中熙弥珍道店,29
深圳软件园产业基地店,117
宁波东银泰城店,86
台州市第一人民医院店,48
衢州东方店,43
西安万科金域国际店,59
自贡市华商爱琴海店,79
杭州西溪龙湖天街店,148
未来资产大厦店,122
合生汇B1店,133
浦东星河湾店,141
合肥之心城店,89
陆家嘴软件园店,107
国际港务大厦店,87
广州天环广场2门店,70
杭州新芯智谷GHI店,109
杭州303生活广场店,237
盐城东台吾悦广场店,106
中建大厦店,110
晨达广场店,133
宁波慈溪吾悦广场店,113
上海新城金茂府店,74
北京大悦春风里-丰台,26
成都仁恒Office店,37
东莞长安万科广场店,54
广州花都广百店,36
长沙凯德壹中心店,58
马鞍山八佰伴店,31
七宝万科广场1F店,92
世茂广场店,78
菊盛路店,127
天津金元宝滨海中心店,66
嘉定华泰广场店,105
深圳赋安科技大楼店,57
北京市中国建筑研究院店,103
杭州新天地中心店,127
成都世纪城新会展店,48
武威东路店,160
天府机场2店,83
中惠广场店,84
北京大学医学部产业楼店,29
深圳海上世界店,141
杭州小和山铂悦城,69
北京南竹杆第二咖啡店,88
长沙乐和城门店,22
深圳水贝壹号店,54
广州新光百货店,32
上海国拓广场店,158
杭州绿城之江一号店,92
南京龙台大厦店,132
欧陆大厦Now,36
南昌百货大楼店,52
上海汇金百货虹桥店,120
壹街坊店,130
南宁宜家荟聚店,36
歌斐中心店,198
三钢里店,122
芜湖镜湖万达店,126
沈阳万象城店,87
武汉大洋百货龙阳店,8
嘉兴九曲里店,134
杭州火车东站东广场店,109
杭州萧山南环路世纪联华,173
南京1912店,113
杭州顺丰创新中心店,60
平湖嘉荟商业广场店,90
保定保百购物广场咖啡店,70
西安南门金花店,53
广州琶洲保利国际广场店,61
杭州建德美好广场店,59
重庆江津万达,11
上海环贸广场3楼店,183
昆山金鹰店,158
无锡宜兴新城路店,103
北京浦项中心店,37
杭州滨江和瑞科技园店,84
青岛李沧宝龙城市广场店,30
南通海门文峰大世界店,84
武汉百瑞景店,66
武汉汉正街云尚店,12
迪美广场店,29
